#{"t_start": 1754489820.6862004, "env_id": "None"}
r,l,t
-16.402622,22,1.699671
-62.223442,23,1.701183
-62.17996,24,1.703209
-12.979817,25,1.706209
-16.720093,26,1.70821
-160.93912,31,1.71774
-408.2774,36,1.726281
-62.699814,24,1.745851
-12.192991,24,1.752376
-845.4461,54,1.758375
-161.03851,32,1.761894
-112.007065,27,1.765896
-60.896362,27,1.775417
-10.3389225,26,1.794453
-600.7369,56,1.802986
-61.462353,27,1.808391
-110.408745,29,1.817918
-14.969996,26,1.846025
-13.540603,25,1.849027
-2733.3364,83,1.852536
-1245.2731,59,1.854543
-646.71686,55,1.857543
-12.951527,26,1.861064
-1245.3289,59,1.876596
-14.286012,26,1.897572
-63.5028,25,1.90409
-59.634014,29,1.907089
-155.58813,31,1.907089
-2241.8618,73,1.917583
-14.37074,24,1.917583
-1198.1823,56,1.940039
-15.21546,23,1.942274
-13.867634,23,1.956505
-1790.8479,68,1.96703
-13.289218,25,1.987072
-112.78126,30,1.997358
-60.763435,26,2.004875
-1592.305,65,2.010875
-112.28636,27,2.0151
-1144.679,56,2.017099
-1387.7302,63,2.019099
-14.363493,25,2.029624
-112.834366,28,2.052691
-111.96868,28,2.058692
-13.798143,28,2.062229
-12.885541,26,2.062229
-14.392113,27,2.062229
-3126.2627,92,2.067225
-16.757214,21,2.086827
-110.06146,25,2.102844
-64.21327,29,2.106839
-1595.5444,65,2.106839
-60.96897,28,2.108841
-63.75137,26,2.109849
-163.94113,31,2.114347
-13.993587,23,2.149219
-12.999377,26,2.151753
-15.007738,25,2.15576
-212.01587,31,2.156751
-106.72636,30,2.157757
-158.92653,31,2.16076
-2681.8733,85,2.174683
-894.44147,51,2.174683
-10.332428,26,2.194513
-13.1057005,23,2.198515
-10.040026,26,2.202059
-62.195503,27,2.204058
-159.28348,27,2.219502
-12.945472,25,2.236351
-208.18488,29,2.245944
-157.51674,28,2.249943
-997.0057,55,2.255198
-62.05715,30,2.272039
-2188.8298,75,2.281555
-62.38281,25,2.281555
-61.083817,25,2.292077
-2383.8699,78,2.310867
-1436.4718,63,2.312389
-15.522018,23,2.322917
-64.33101,27,2.339724
-1234.8683,56,2.350761
-744.16833,46,2.354781
-16.282944,24,2.354781
-60.730625,26,2.356782
-12.8846035,26,2.387177
-2434.757,80,2.400822
-1341.3147,68,2.404832
-112.55612,27,2.404832
-63.013256,28,2.407832
-12.4113455,25,2.433074
-1390.5295,66,2.444727
-15.383445,24,2.451236
-16.078196,26,2.454241
-13.168906,25,2.456241
-1044.0719,60,2.462761
-1384.7183,59,2.464763
-750.7,43,2.480167
-59.755707,26,2.482195
-111.07066,27,2.492726
