#{"t_start": 1754439998.921437, "env_id": "None"}
r,l,t
66.28481,57,1.58005
201.29495,76,1.614243
317.69052,94,1.64832
530.3923,113,1.676239
162.66194,66,1.691893
545.6464,125,1.691893
724.6919,136,1.723103
807.5789,143,1.738725
164.80919,68,1.738725
676.624,170,1.785589
63.74973,56,1.848075
500.54742,109,1.848075
256.39948,93,1.863728
477.6444,100,1.89497
539.96826,120,1.957423
516.0617,128,1.973045
193.23663,70,1.988698
165.67653,75,1.988698
513.79126,122,2.019941
115.0487,71,2.035557
1143.6438,180,2.035557
551.29724,125,2.082429
173.1373,63,2.098015
250.58788,92,2.176368
76.219925,58,2.207611
471.45825,125,2.223232
703.1564,143,2.31696
672.7,138,2.31696
459.2328,149,2.31696
558.28485,127,2.338089
254.58722,100,2.369335
75.74508,58,2.447443
853.86017,143,2.538634
805.84045,140,2.552597
495.45822,109,2.604477
477.7529,121,2.6201
117.36695,62,2.6201
510.23706,120,2.662202
62.198692,57,2.742817
94.152374,62,2.78025
666.5382,157,2.787588
447.4362,117,2.854888
161.1484,74,2.857072
479.95944,117,2.922158
149.64653,72,2.960006
258.34818,101,2.987486
190.85675,72,2.9981
622.0178,206,3.038719
533.88776,120,3.110084
827.23236,146,3.120569
209.19617,79,3.177079
499.0469,117,3.232513
120.535576,64,3.252864
788.96094,144,3.256637
536.5758,110,3.256637
949.7145,188,3.303533
183.51291,78,3.334743
435.75815,119,3.350397
125.00581,62,3.381609
321.74365,91,3.428472
172.13843,73,3.459746
769.2159,140,3.499431
771.8158,136,3.530712
580.9301,114,3.577541
165.0868,73,3.577541
228.68286,77,3.608816
543.01013,123,3.640027
214.94379,77,3.655647
137.03542,72,3.671269
1063.4542,199,3.736933
236.78493,89,3.75681
332.46332,103,3.788086
325.69275,91,3.85057
559.219,130,3.866193
199.67096,67,3.897402
555.9693,124,3.928678
357.21008,98,3.928678
532.3883,109,4.006786
1466.6407,233,4.100514
440.46997,126,4.116133
505.10757,121,4.131755
6034.24,1000,4.131755
204.83421,71,4.147344
833.54065,150,4.147344
764.2361,138,4.20698
750.27783,148,4.216981
215.78062,77,4.276999
176.3759,73,4.278992
148.6414,70,4.284977
261.54572,90,4.312701
232.16167,83,4.359566
623.55975,154,4.453268
475.9079,125,4.468914
472.62323,105,4.484528
286.5206,94,4.500125
1356.2968,218,4.547023
542.6299,136,4.56261
794.1091,141,4.578256
65.46056,61,4.593885
414.07413,135,4.656338
234.31013,79,4.718855
306.08994,92,4.765687
680.16394,152,4.781309
464.8785,109,4.798113
770.6018,144,4.808086
476.37,142,4.817088
129.88962,70,4.863951
533.63824,127,4.879573
410.09473,124,4.910817
146.50415,70,4.942058
135.95953,72,4.95768
269.9582,95,4.973333
137.20651,68,5.051408
265.87003,96,5.067063
827.20996,141,5.067063
778.1572,142,5.08265
98.02085,61,5.08265
526.5117,128,5.192033
142.93149,70,5.192033
497.62402,122,5.207653
991.1019,189,5.223242
529.6034,111,5.270141
524.7448,122,5.285728
520.3087,120,5.301349
532.601,128,5.317711
220.56194,81,5.357368
74.54199,54,5.419854
485.95547,120,5.451097
527.72375,111,5.482339
180.92427,70,5.497993
527.0003,115,5.497993
469.33475,123,5.537247
677.1255,192,5.552871
924.7239,190,5.568526
197.24402,78,5.568526
66.33572,56,5.599767
169.48596,74,5.631015
487.37573,102,5.6466
310.78214,90,5.66222
