#{"t_start": 1754444974.287548, "env_id": "None"}
r,l,t
-48.592327,12,1.460717
-43.580715,13,1.462689
-41.016712,15,1.466666
-35.230183,7,1.482623
-81.03603,23,1.485648
-64.355835,25,1.490602
-64.95585,26,1.493595
-36.574753,7,1.501573
-34.797916,6,1.50257
-65.355995,30,1.505563
-36.655968,7,1.511602
-37.939934,6,1.511602
-38.260727,7,1.52357
-33.15097,7,1.526562
-30.812649,8,1.526562
-37.883625,7,1.531859
-36.96597,7,1.531859
-36.412334,6,1.541835
-38.276497,6,1.544858
-33.858665,7,1.547817
-35.361195,6,1.550808
-34.210835,7,1.553833
-93.94059,35,1.559785
-40.969147,7,1.562776
-36.561188,7,1.566765
-32.458706,6,1.570589
-32.94963,7,1.570589
-110.68186,39,1.570589
-33.624752,7,1.577571
-35.928116,7,1.582557
-37.671894,7,1.586546
-37.322304,6,1.589867
-31.030504,7,1.589867
-35.0128,6,1.589867
-35.873947,7,1.592861
-26.828224,7,1.598843
-44.89095,62,1.605826
-34.85601,6,1.605826
-34.182686,7,1.605826
-34.294857,6,1.609045
-33.08954,6,1.609045
-35.996372,7,1.612039
-38.096977,7,1.615029
-39.31599,7,1.621013
-34.992752,6,1.624005
-38.465233,7,1.626997
-35.385815,7,1.626997
-34.552563,7,1.629964
-37.733715,7,1.629964
-37.885715,7,1.632956
-34.533363,7,1.635948
-32.75894,7,1.641932
-36.748512,6,1.643926
-34.154694,7,1.644924
-41.794746,7,1.646918
-37.3848,7,1.650815
-35.78912,7,1.650815
-31.642181,7,1.655801
-33.91038,8,1.655801
-36.70511,7,1.660789
-34.94597,6,1.661785
-33.396164,6,1.663792
-32.3047,7,1.663792
-34.244446,6,1.666772
-34.63745,6,1.666772
-34.15846,6,1.672683
-29.508915,7,1.674678
-37.076958,6,1.67767
-35.14294,6,1.679664
-35.225357,7,1.679664
-33.288994,7,1.682656
-30.903633,7,1.684651
-32.16519,7,1.684651
-39.468117,7,1.689638
-30.422876,6,1.689638
-31.234339,6,1.69263
-36.458878,6,1.695622
-36.904984,7,1.697617
-34.437943,6,1.697617
-18.903105,7,1.702603
-37.870995,7,1.702603
-34.458843,6,1.704597
-36.649498,7,1.707589
-35.06907,6,1.709584
-32.310566,6,1.712576
-37.46195,7,1.714571
-37.039738,6,1.719589
-34.740253,7,1.719589
-36.360634,7,1.719589
-36.537724,6,1.724577
-34.509922,7,1.724577
-37.043068,7,1.729254
-39.84635,7,1.731249
-37.524334,6,1.734273
-44.4144,17,1.734273
-35.106277,7,1.736236
-30.738129,7,1.736236
-34.138336,6,1.73823
-34.64978,6,1.73926
-30.89982,6,1.743217
-37.495308,6,1.746208
-37.867096,6,1.748878
-34.337414,7,1.751904
-34.705063,6,1.751904
-35.11959,6,1.754895
-36.834652,7,1.754895
-33.487133,7,1.756856
-29.027796,7,1.761844
-37.15926,6,1.764868
-31.120966,7,1.764868
-29.129177,6,1.769821
-30.971216,7,1.769821
-37.697655,7,1.771828
-37.68322,6,1.776892
-30.68042,6,1.779918
-30.704119,7,1.781879
