#{"t_start": 1754459788.8921247, "env_id": "None"}
r,l,t
1000.6287,139,1.779183
1244.6249,174,1.846571
1352.7666,195,1.88069
1732.0098,220,1.927555
1730.8734,230,1.946856
1088.0212,150,2.165481
2035.0763,248,2.245764
1328.9749,186,2.279424
2003.3214,256,2.326288
1028.6447,163,2.597263
1997.4204,250,2.713015
1376.803,173,2.728638
2070.079,259,2.897488
1191.8385,157,3.097958
1319.8804,188,3.144821
2008.2834,255,3.198193
7108.5146,1000,3.668076
1993.9133,253,3.768316
2110.9585,252,3.815185
1296.1063,169,4.068807
7113.313,1000,4.209117
1615.0947,209,4.24036
1513.7775,211,4.300237
2028.6846,242,4.631727
1660.4612,216,4.716344
2042.2655,255,4.847824
2074.4128,253,4.886384
2008.5187,957,5.117112
2034.4814,275,5.232969
1790.2211,275,5.301961
1790.5942,234,5.37095
6513.9434,1000,5.37095
2018.332,249,5.602211
1201.3988,165,5.633419
1276.6865,179,5.754431
1667.7792,217,5.82686
753.92145,130,5.905905
1259.8021,156,5.947447
1203.8588,151,14.593707
1259.709,156,14.810569
1599.8417,205,14.822652
1710.491,231,15.023772
2071.5918,258,15.263279
1615.9388,209,15.363254
1599.6818,222,15.383324
1023.58527,144,15.403277
6488.3696,1000,15.643816
1297.0912,169,15.801815
2010.4451,258,15.964383
6583.571,1000,16.05068
1800.7103,222,16.123064
1244.2595,172,16.166328
1676.7437,217,16.464705
1588.7191,207,16.52308
1428.2671,180,16.584886
1856.8365,225,16.650905
1162.3636,170,16.923159
1116.7438,150,16.951287
1844.6962,222,16.998157
1999.9082,240,17.213906
1284.2496,177,17.314142
2050.733,245,17.463412
7219.361,1000,17.532748
1364.1658,183,17.581888
7192.3066,1000,17.603434
609.7591,125,17.792775
2004.3894,249,17.824052
1263.1082,165,17.914671
1934.49,253,17.983728
2007.1681,245,18.284038
1722.6973,241,18.315282
1282.948,178,18.353029
1939.4916,247,18.431172
981.31824,147,18.616093
1263.0371,169,18.631715
1402.7239,199,18.832132
1900.0192,234,18.832132
1623.9702,212,19.054895
6853.6973,1000,19.054895
1458.2172,206,19.07052
1364.4918,174,27.34882
1523.7399,205,27.469699
1174.6677,168,27.650738
1338.8586,177,27.660775
6972.8857,1000,27.951916
1995.7743,245,27.983126
2061.8516,247,28.052186
2019.7717,247,28.206831
2075.2708,255,28.233193
972.377,152,28.261874
1130.4215,168,28.321748
1568.661,224,28.518924
1476.9152,204,28.66905
2034.3168,250,28.822489
2029.8618,253,28.867848
1097.7982,156,29.046866
2022.4994,247,29.14692
1982.9688,927,29.416898
1985.4663,255,29.426626
1931.9598,249,29.46672
1351.5782,205,29.606823
1940.1826,259,29.649487
1730.1345,210,29.908504
1733.078,221,29.955335
1281.9111,168,30.095136
2045.686,256,30.25543
1058.4528,145,30.308804
1331.4565,179,30.355669
1298.8514,185,30.509387
829.10175,127,30.593971
6404.982,1000,30.709901
1903.7515,243,30.787977
2094.0684,253,30.894785
1386.4775,192,30.926033
1318.7782,207,31.080799
901.54346,130,31.29429
1968.5021,236,31.327049
1476.3923,195,31.327049
